Month/Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
Jul-99,"189,503","115,017",
Aug-99,"187,616","117,149",
Sep-99,"189,741","121,207",
Oct-99,"194,259","123,457",
Nov-99,"218,304","131,786",
Dec-99,"241,967","146,582",
,,,
Jan-98,"132,912","83,362",
Feb-98,"141,328","81,932",
Mar-98,"146,536","85,580",
Apr-98,"146,589","85,771",
May-98,"150,293","80,174",
Jun-98,"154,357","87,891",
Jul-98,"160,980","92,687",
Aug-98,"155,879","100,093",
Sep-98,"144,541","103,879",
Oct-98,"138,399","108,179",
Nov-98,"148,697","108,032",
Dec-98,"148,674","111,507",
,,,
Jan-97,"103,337","68,856",
Feb-97,"103,886","67,058",
Mar-97,"104,835","69,553",
Apr-97,"102,842","64,825",
May-97,"111,097","66,879",
Jun-97,"118,843","72,422",
Jul-97,"121,090","73,714",
Aug-97,"124,404","71,211",
Sep-97,"131,962","73,087",
Oct-97,"134,491","80,287",
Nov-97,"132,741","77,259",
Dec-97,"131,560","88,590",
